timestamp,acceleration.x,acceleration.y,acceleration.z
1.487304667081e+12,-0.09,-0.02,0.95
1.487304667591e+12,-0.07,-0.03,1.00
1.487304668087e+12,-0.09,-0.02,1.04
1.487304668582e+12,-0.09,-0.05,0.96
1.487304669066e+12,-0.04,-0.09,0.98
1.487304669575e+12,-0.12,-0.11,1.03
1.487304670055e+12,-0.14,-0.09,0.98
1.487304670566e+12,-0.12,-0.09,1.02
1.487304671064e+12,-0.09,-0.03,1.00
1.487304671559e+12,-0.09,-0.03,0.99
1.48730467204e+12,-0.06,0.02,0.95
1.487304672551e+12,-0.08,-0.02,1.04
1.487304673032e+12,-0.07,0.06,0.94
1.487304673542e+12,-0.11,-0.01,1.04
1.487304674025e+12,-0.08,0.06,0.94
1.487304674518e+12,-0.08,-0.02,1.05
1.487304675014e+12,-0.07,0.05,0.94
1.487304675511e+12,-0.10,-0.02,1.06
1.487304676006e+12,-0.09,0.02,0.95
1.487304676502e+12,-0.12,-0.01,1.05
1.487304676999e+12,-0.08,0.02,0.96
1.487304677496e+12,-0.11,0.00,1.04
1.48730467799e+12,-0.12,-0.02,0.98
1.487304678486e+12,-0.09,0.01,1.04
1.487304678982e+12,-0.12,-0.02,1.00
1.48730467948e+12,-0.10,-0.02,1.06
1.487304679974e+12,-0.07,0.05,0.93
1.48730468047e+12,-0.08,-0.02,1.05
1.487304680967e+12,-0.04,0.06,0.94
1.487304681463e+12,-0.09,-0.02,1.05
1.487304681959e+12,-0.07,0.06,0.94
1.487304682454e+12,-0.10,-0.02,1.06
1.48730468295e+12,-0.09,0.03,0.96
1.487304683446e+12,-0.11,-0.01,1.06
1.487304683942e+12,-0.07,0.04,0.96
1.487304684438e+12,-0.11,-0.01,1.06
1.487304684933e+12,-0.09,0.02,0.97
1.487304685429e+12,-0.11,-0.00,1.05
1.487304685909e+12,-0.11,0.00,0.99
1.487304686422e+12,-0.10,0.01,1.03
1.487304686902e+12,-0.11,-0.01,0.97
1.487304687414e+12,-0.10,0.01,1.04
1.487304687892e+12,-0.10,0.05,0.99
1.48730468839e+12,-0.09,0.07,1.02
1.487304688901e+12,-0.11,0.19,1.00
1.487304689398e+12,-0.13,0.12,1.01
1.48730468988e+12,-0.08,0.12,0.98
1.487304690389e+12,-0.07,0.06,1.01
1.48730469087e+12,-0.02,0.11,0.94
1.48730469138e+12,-0.02,0.04,1.02
1.487304691863e+12,0.01,0.10,0.92
1.487304692356e+12,0.03,0.02,1.00
1.487304692822e+12,0.09,0.00,1.04
1.487304693317e+12,0.03,-0.00,1.00
1.487304693813e+12,0.04,0.01,1.03
1.487304694309e+12,0.01,0.07,1.00
1.487304694804e+12,0.02,0.04,1.04
1.487304695301e+12,-0.04,0.05,0.98
1.487304695749e+12,0.00,0.02,1.00
